0	name0	value0
1	name1	value1
2	name2	value2
3	name3	value3
4	name4	value4
5	name5	value5
6	name6	value6
7	name7	value7
8	name8	value8
9	name9	value9
10	name10	value10
11	name11	value11
12	name12	value12
13	name13	value13
14	name14	value14
15	name15	value15
16	name16	value16
17	name17	value17
18	name18	value18
19	name19	value19
20	name20	value20
21	name21	value21
22	name22	value22
23	name23	value23
24	name24	value24
25	name25	value25
26	name26	value26
27	name27	value27
28	name28	value28
29	name29	value29
30	name30	value30
31	name31	value31
32	name32	value32
33	name33	value33
34	name34	value34
35	name35	value35
36	name36	value36
37	name37	value37
38	name38	value38
39	name39	value39
40	name40	value40
41	name41	value41
42	name42	value42
43	name43	value43
44	name44	value44
45	name45	value45
46	name46	value46
47	name47	value47
48	name48	value48
49	name49	value49
50	name50	value50
51	name51	value51
52	name52	value52
53	name53	value53
54	name54	value54
55	name55	value55
56	name56	value56
57	name57	value57
58	name58	value58
59	name59	value59
60	name60	value60
61	name61	value61
62	name62	value62
63	name63	value63
64	name64	value64
65	name65	value65
66	name66	value66
67	name67	value67
68	name68	value68
69	name69	value69
70	name70	value70
71	name71	value71
72	name72	value72
73	name73	value73
74	name74	value74
75	name75	value75
76	name76	value76
77	name77	value77
78	name78	value78
79	name79	value79
80	name80	value80
81	name81	value81
82	name82	value82
83	name83	value83
84	name84	value84
85	name85	value85
86	name86	value86
87	name87	value87
88	name88	value88
89	name89	value89
90	name90	value90
91	name91	value91
92	name92	value92
93	name93	value93
94	name94	value94
95	name95	value95
96	name96	value96
97	name97	value97
98	name98	value98
99	name99	value99
100	name100	value100
101	name101	value101
102	name102	value102
103	name103	value103
104	name104	value104
105	name105	value105
106	name106	value106
107	name107	value107
108	name108	value108
109	name109	value109
110	name110	value110
111	name111	value111
112	name112	value112
113	name113	value113
114	name114	value114
115	name115	value115
116	name116	value116
117	name117	value117
118	name118	value118
119	name119	value119
120	name120	value120
121	name121	value121
122	name122	value122
123	name123	value123
124	name124	value124
125	name125	value125
126	name126	value126
127	name127	value127
128	name128	value128
129	name129	value129
130	name130	value130
131	name131	value131
132	name132	value132
133	name133	value133
134	name134	value134
135	name135	value135
136	name136	value136
137	name137	value137
138	name138	value138
139	name139	value139
140	name140	value140
141	name141	value141
142	name142	value142
143	name143	value143
144	name144	value144
145	name145	value145
146	name146	value146
147	name147	value147
148	name148	value148
149	name149	value149
150	name150	value150
151	name151	value151
152	name152	value152
153	name153	value153
154	name154	value154
155	name155	value155
156	name156	value156
157	name157	value157
158	name158	value158
159	name159	value159
160	name160	value160
161	name161	value161
162	name162	value162
163	name163	value163
164	name164	value164
165	name165	value165
166	name166	value166
167	name167	value167
168	name168	value168
169	name169	value169
170	name170	value170
171	name171	value171
172	name172	value172
173	name173	value173
174	name174	value174
175	name175	value175
176	name176	value176
177	name177	value177
178	name178	value178
179	name179	value179
180	name180	value180
181	name181	value181
182	name182	value182
183	name183	value183
184	name184	value184
185	name185	value185
186	name186	value186
187	name187	value187
188	name188	value188
189	name189	value189
190	name190	value190
191	name191	value191
192	name192	value192
193	name193	value193
194	name194	value194
195	name195	value195
196	name196	value196
197	name197	value197
198	name198	value198
199	name199	value199
200	name200	value200
201	name201	value201
202	name202	value202
203	name203	value203
204	name204	value204
205	name205	value205
206	name206	value206
207	name207	value207
208	name208	value208
209	name209	value209
210	name210	value210
211	name211	value211
212	name212	value212
213	name213	value213
214	name214	value214
215	name215	value215
216	name216	value216
217	name217	value217
218	name218	value218
219	name219	value219
220	name220	value220
221	name221	value221
222	name222	value222
223	name223	value223
224	name224	value224
225	name225	value225
226	name226	value226
227	name227	value227
228	name228	value228
229	name229	value229
230	name230	value230
231	name231	value231
232	name232	value232
233	name233	value233
234	name234	value234
235	name235	value235
236	name236	value236
237	name237	value237
238	name238	value238
239	name239	value239
240	name240	value240
241	name241	value241
242	name242	value242
243	name243	value243
244	name244	value244
245	name245	value245
246	name246	value246
247	name247	value247
248	name248	value248
249	name249	value249
250	name250	value250
251	name251	value251
252	name252	value252
253	name253	value253
254	name254	value254
255	name255	value255
256	name256	value256
257	name257	value257
258	name258	value258
259	name259	value259
260	name260	value260
261	name261	value261
262	name262	value262
263	name263	value263
264	name264	value264
265	name265	value265
266	name266	value266
267	name267	value267
268	name268	value268
269	name269	value269
270	name270	value270
271	name271	value271
272	name272	value272
273	name273	value273
274	name274	value274
275	name275	value275
276	name276	value276
277	name277	value277
278	name278	value278
279	name279	value279
280	name280	value280
281	name281	value281
282	name282	value282
283	name283	value283
284	name284	value284
285	name285	value285
286	name286	value286
287	name287	value287
288	name288	value288
289	name289	value289
290	name290	value290
291	name291	value291
292	name292	value292
293	name293	value293
294	name294	value294
295	name295	value295
296	name296	value296
297	name297	value297
298	name298	value298
299	name299	value299
300	name300	value300
301	name301	value301
302	name302	value302
303	name303	value303
304	name304	value304
305	name305	value305
306	name306	value306
307	name307	value307
308	name308	value308
309	name309	value309
310	name310	value310
311	name311	value311
312	name312	value312
313	name313	value313
314	name314	value314
315	name315	value315
316	name316	value316
317	name317	value317
318	name318	value318
319	name319	value319
320	name320	value320
321	name321	value321
322	name322	value322
323	name323	value323
324	name324	value324
325	name325	value325
326	name326	value326
327	name327	value327
328	name328	value328
329	name329	value329
330	name330	value330
331	name331	value331
332	name332	value332
333	name333	value333
334	name334	value334
335	name335	value335
336	name336	value336
337	name337	value337
338	name338	value338
339	name339	value339
340	name340	value340
341	name341	value341
342	name342	value342
343	name343	value343
344	name344	value344
345	name345	value345
346	name346	value346
347	name347	value347
348	name348	value348
349	name349	value349
350	name350	value350
351	name351	value351
352	name352	value352
353	name353	value353
354	name354	value354
355	name355	value355
356	name356	value356
357	name357	value357
358	name358	value358
359	name359	value359
360	name360	value360
361	name361	value361
362	name362	value362
363	name363	value363
364	name364	value364
365	name365	value365
366	name366	value366
367	name367	value367
368	name368	value368
369	name369	value369
370	name370	value370
371	name371	value371
372	name372	value372
373	name373	value373
374	name374	value374
375	name375	value375
376	name376	value376
377	name377	value377
378	name378	value378
379	name379	value379
380	name380	value380
381	name381	value381
382	name382	value382
383	name383	value383
384	name384	value384
385	name385	value385
386	name386	value386
387	name387	value387
388	name388	value388
389	name389	value389
390	name390	value390
391	name391	value391
392	name392	value392
393	name393	value393
394	name394	value394
395	name395	value395
396	name396	value396
397	name397	value397
398	name398	value398
399	name399	value399
400	name400	value400
401	name401	value401
402	name402	value402
403	name403	value403
404	name404	value404
405	name405	value405
406	name406	value406
407	name407	value407
408	name408	value408
409	name409	value409
410	name410	value410
411	name411	value411
412	name412	value412
413	name413	value413
414	name414	value414
415	name415	value415
416	name416	value416
417	name417	value417
418	name418	value418
419	name419	value419
420	name420	value420
421	name421	value421
422	name422	value422
423	name423	value423
424	name424	value424
425	name425	value425
426	name426	value426
427	name427	value427
428	name428	value428
429	name429	value429
430	name430	value430
431	name431	value431
432	name432	value432
433	name433	value433
434	name434	value434
435	name435	value435
436	name436	value436
437	name437	value437
438	name438	value438
439	name439	value439
440	name440	value440
441	name441	value441
442	name442	value442
443	name443	value443
444	name444	value444
445	name445	value445
446	name446	value446
447	name447	value447
448	name448	value448
449	name449	value449
450	name450	value450
451	name451	value451
452	name452	value452
453	name453	value453
454	name454	value454
455	name455	value455
456	name456	value456
457	name457	value457
458	name458	value458
459	name459	value459
460	name460	value460
461	name461	value461
